date,wholesale_price,item_code
2020-07-01,3.88,102900005115762
2020-07-01,6.72,102900005115779
2020-07-01,3.19,102900005115786
2020-07-01,9.24,102900005115793
2020-07-01,7.03,102900005115823
2020-07-01,4.6,102900005115908
2020-07-01,4.2,102900005115946
2020-07-01,2.1,102900005115960
2020-07-01,3.44,102900005115984
2020-07-01,4.64,102900005116226
2020-07-01,5.76,102900005116233
2020-07-01,6.56,102900005116257
2020-07-01,1.63,102900005116509
2020-07-01,10.8,102900005116530
2020-07-01,4.06,102900005116547
2020-07-01,9.23,102900005116714
2020-07-01,3.97,102900005116790
2020-07-01,8.16,102900005116912
2020-07-01,7.83,102900005116943
2020-07-01,4.32,102900005117056
2020-07-01,7.58,102900005117209
2020-07-01,8.47,102900005118817
2020-07-01,5.65,102900005118824
2020-07-01,4.13,102900005118831
2020-07-01,10.29,102900005119944
2020-07-01,3.6,102900005119975
2020-07-01,7.5,102900005123880
2020-07-01,12.1,102900005125808
2020-07-01,6.16,102900005125815
2020-07-01,8.24,102900011001219
2020-07-01,11.69,102900011006948
2020-07-01,4.44,102900011008522
2020-07-01,6.03,102900011009970
2020-07-01,29.43,102900051000944
2020-07-01,6.81,102900051004294
2020-07-01,4.63,102900051010455
2020-07-02,3.93,102900005115762
2020-07-02,4.23,102900005115779
2020-07-02,3.18,102900005115786
2020-07-02,9.19,102900005115793
2020-07-02,7.03,102900005115823
2020-07-02,4.52,102900005115908
2020-07-02,4.23,102900005115946
2020-07-02,2.1,102900005115960
2020-07-02,3.58,102900005115984
2020-07-02,4.57,102900005116226
2020-07-02,5.71,102900005116233
2020-07-02,3.72,102900005116257
2020-07-02,1.46,102900005116509
2020-07-02,10.8,102900005116530
2020-07-02,4.05,102900005116547
2020-07-02,8.9,102900005116714
2020-07-02,3.97,102900005116790
2020-07-02,8.05,102900005116912
2020-07-02,7.27,102900005116943
2020-07-02,4.48,102900005117056
2020-07-02,7.33,102900005117209
2020-07-02,7.88,102900005118817
2020-07-02,5.76,102900005118824
2020-07-02,4.11,102900005118831
2020-07-02,10.13,102900005119944
2020-07-02,3.6,102900005119975
2020-07-02,6.46,102900005123880
2020-07-02,12.13,102900005125808
2020-07-02,6.15,102900005125815
2020-07-02,7.1,102900011000328
2020-07-02,8.24,102900011001219
2020-07-02,6.83,102900011006689
2020-07-02,11.75,102900011006948
2020-07-02,4.44,102900011008522
2020-07-02,5.52,102900011009970
2020-07-02,29.54,102900051000944
2020-07-02,6.85,102900051004294
2020-07-02,4.76,102900051010455
2020-07-03,3.57,102900005115762
2020-07-03,4.61,102900005115779
2020-07-03,3.79,102900005115786
2020-07-03,9.2,102900005115793
2020-07-03,6.76,102900005115823
2020-07-03,3.89,102900005115908
2020-07-03,4.3,102900005115946
2020-07-03,2.11,102900005115960
2020-07-03,3.75,102900005115984
2020-07-03,4.42,102900005116226
2020-07-03,5.7,102900005116233
2020-07-03,6.56,102900005116257
2020-07-03,1.48,102900005116509
2020-07-03,10.8,102900005116530
2020-07-03,4.05,102900005116547
2020-07-03,8.97,102900005116714
2020-07-03,3.98,102900005116790
2020-07-03,7.9,102900005116912
2020-07-03,6.75,102900005116943
2020-07-03,5.31,102900005117056
2020-07-03,6.21,102900005117209
2020-07-03,5.61,102900005118824
2020-07-03,4.05,102900005118831
2020-07-03,10.05,102900005119944
2020-07-03,3.6,102900005119975
2020-07-03,6.23,102900005123880
2020-07-03,12.2,102900005125808
2020-07-03,6.32,102900005125815
2020-07-03,6.58,102900011000328
2020-07-03,7.0,102900011001219
2020-07-03,6.88,102900011006689
2020-07-03,11.75,102900011006948
2020-07-03,4.47,102900011008522
2020-07-03,4.81,102900011009970
2020-07-03,8.07,102900051004294
2020-07-03,4.74,102900051010455
2020-07-04,5.77,102900005115779
2020-07-04,3.46,102900005115786
2020-07-04,9.16,102900005115793
2020-07-04,6.56,102900005115823
2020-07-04,3.53,102900005115908
2020-07-04,4.28,102900005115946
2020-07-04,2.21,102900005115960
2020-07-04,3.75,102900005115984
2020-07-04,4.41,102900005116226
2020-07-04,5.42,102900005116233
2020-07-04,3.94,102900005116257
2020-07-04,1.98,102900005116509
2020-07-04,12.0,102900005116530
2020-07-04,4.05,102900005116547
2020-07-04,9.27,102900005116714
2020-07-04,4.01,102900005116790
2020-07-04,7.79,102900005116912
2020-07-04,5.9,102900005116943
2020-07-04,5.16,102900005117056
2020-07-04,7.43,102900005117209
2020-07-04,5.41,102900005118824
2020-07-04,4.09,102900005118831
2020-07-04,10.08,102900005119944
2020-07-04,7.23,102900005123880
2020-07-04,12.08,102900005125808
2020-07-04,6.0,102900005125815
2020-07-04,6.0,102900011000328
2020-07-04,7.37,102900011001219
2020-07-04,7.21,102900011006689
2020-07-04,4.44,102900011008522
2020-07-04,4.71,102900011009970
